Unnamed: 0,Address,Price,Square Feet,Latitude,Longitude,price_per_sqft
0,"401 Silver King Dr #52, Park City, UT 84060",649000.0,452.0,40.6536206,-111.5108353,1435.8407079646017
1,"3752 W Soft Whisper Way, Herriman, UT 84096",419000.0,1956.0,40.4789328,-111.9800321,214.21267893660533
2,"445 N 100 W, Richfield, UT 84701",229000.0,1404.0,38.774316,-112.0831,163.1054131054131
3,"754 E Logan Ave, Salt Lake City, UT 84105",650000.0,1977.0,40.7342592,-111.8693289,328.7809812847749
4,"14506 S Ronan Ln UNIT 202, Herriman, UT 84096",355000.0,1265.0,40.4876916,-111.9930813,280.6324110671937
5,"2868 S 17300 W, Cedar City, UT 84720",379500.0,1190.0,37.9906221,-113.4363576,318.9075630252101
6,"1261 W Dallin Dr APT P101, Pleasant Grove, UT 84062",334900.0,1306.0,40.365808,-111.7587179,256.43185298621745
7,"3625 S 5725 W, West Valley City, UT 84128",270000.0,1900.0,40.6935459,-112.0275863,142.10526315789474
8,"418 W 200 N, Logan, UT 84321",305000.0,1571.0,41.7351435,-111.8457963,194.14385741565883
9,"1676 E Sunset Rd, Lake Point, UT 84074",349900.0,1792.0,40.6809976,-112.2521916,195.25669642857142
10,"8364 W Aleen Ave S, Magna, UT 84044",415000.0,2052.0,40.7022895,-112.0909568,202.24171539961014
11,"1244 S Spruce Dr, Roosevelt, UT 84066",325000.0,2392.0,40.2814127,-109.993556,135.8695652173913
12,"2472 W 525 S, Layton, UT 84041",609900.0,3140.0,41.0527413,-112.0121231,194.23566878980893
13,"135 E 100 N, Salina, UT 84654",210000.0,1065.0,38.959215,-111.8577668,197.18309859154928
14,"11578 S Harvest Rain Ave W, South Jordan, UT 84009",615000.0,2753.0,40.5409274,-111.9966067,223.39266254994553
15,"956 W Tiffany Dale Way, Bluffdale, UT 84065",445000.0,2002.0,40.4703141,-111.9189583,222.2777222777223
16,"3384 N 675 E, Ogden, UT 84414",489900.0,2178.0,41.3225394,-111.9585137,224.93112947658403
17,"4082 N Poplar Dr, Eagle Mountain, UT 84005",495000.0,2586.0,40.3066285,-111.9968927,191.41531322505801
18,"923 E Chris Cir, Clearfield, UT 84015",615000.0,2792.0,41.0885903,-112.0107989,220.27220630372491
19,"6841 N 2200 W APT 13, Park City, UT 84098",415000.0,648.0,40.7302626,-111.5541127,640.4320987654321
20,"1840 E Whitetail Way N, Layton, UT 84040",429900.0,2200.0,41.1036971,-111.931173,195.4090909090909
21,"1920 N Lakota Dr UNIT 34, Saint George, UT 84770",549900.0,1591.0,37.1398518,-113.6204728,345.6316781898177
22,"1316 W 2920 S, Syracuse, UT 84075",625000.0,3588.0,41.0718323,-112.0514932,174.1917502787068
23,"229 E 1530 N, North Logan, UT 84341",299900.0,1276.0,41.76010220000001,-111.8281075,235.03134796238245
24,"7114 W 7800th St S #249, West Jordan, UT 84081",597900.0,2676.0,40.6092936,-112.0580424,223.4304932735426
25,"13958 S Newburg Dr W, Herriman, UT 84096",815000.0,3506.0,40.4975688,-112.0181547,232.45864232743867
26,"910 W Halstead Dr, North Salt Lake, UT 84054",400000.0,1415.0,40.8628542,-111.9347404,282.6855123674912
27,"659 W 300th St S, Lehi, UT 84043",625000.0,2309.0,40.3842147,-111.8599593,270.67994802945
28,"1465 26th St, Ogden, UT 84401",449000.0,2578.0,41.217891,-111.9408145,174.16602017067495
29,"45980 W Winchester Way, Fruitland, UT 84027",649000.0,2591.0,40.286104,-110.857886,250.48243921265922
30,"34100 N 9930 E #A-25, Fairview, UT 84629",202000.0,1344.0,39.626351,-111.4396325,150.29761904761904
31,"142 N 100 E, Provo, UT 84606",660000.0,2027.0,40.235698,-111.6565471,325.60434139121855
33,"1681 W 4450 S, Roy, UT 84067",574900.0,5374.0,41.1821885,-112.0202566,106.97804242649795
36,"5518 S 175 E, Ogden, UT 84405",554000.0,3270.0,41.1644404,-111.9753744,169.41896024464833
37,"136 N 800 E, Genola, UT 84655",1595000.0,4266.0,39.9993359,-111.8238114,373.8865447726207
38,"3938 S Coachman Way W #3938, Ogden, UT 84405",349900.0,1800.0,41.1914779,-111.994703,194.38888888888889
41,"2106 E Claybourne Ave, Salt Lake City, UT 84109",790000.0,2846.0,40.7103828,-111.8308447,277.5825720309206
42,"545 E Woodpine Cir, Midvale, UT 84047",625000.0,2023.0,40.6130931,-111.8757412,308.9471082550667
44,"322 N 3420 W, Hurricane, UT 84737",325000.0,940.0,37.1754183,-113.3672602,345.74468085106383
45,"2698 E Cedar Dr, Virgin, UT 84779",99500.0,115.0,37.404381,-112.975555,865.2173913043479
46,"568 N 1400 E, Heber, UT 84032",1150000.0,4477.0,40.51455470000001,-111.3918633,256.8684386866205
47,"1147 N Carriage Ln, Spanish Fork, UT 84660",695000.0,3711.0,40.1245701,-111.6225909,187.28105631905146
48,"370 E Apple Ln, Blanding, UT 84511",335000.0,2249.0,37.638823,-109.4721354,148.95509115162295
49,"2470 W White Pine Ln, Park City, UT 84060",35000000.0,10286.0,40.6785793,-111.5583351,3402.6832587983668
50,"2948 S 3825 W, West Valley City, UT 84120",420000.0,1524.0,40.7066004,-111.9826073,275.59055118110234
54,"2834 S Liberty Ave, Ogden, UT 84403",356000.0,1664.0,41.21337090000001,-111.9606428,213.94230769230768
55,"1024 W 3925 N, Ogden, UT 84414",535000.0,2790.0,41.3295704,-111.9993496,191.7562724014337
57,"5311 S 4050 W, Roy, UT 84067",420000.0,1253.0,41.1678197,-112.0782625,335.195530726257
58,"8261 N 9550th St W, Lehi, UT 84043",799000.0,1400.0,40.38169860000001,-111.8868314,570.7142857142857
59,"1451 Windy Ridge Dr #1148, Spanish Fork, UT 84660",409990.0,2187.0,40.0922629,-111.5969968,187.466849565615
61,"507 N 1100th St E, American Fork, UT 84003",825000.0,5188.0,40.3877768,-111.7695309,159.02081727062452
62,"62 W Wrangler Ave S, Saratoga Springs, UT 84045",599900.0,3625.0,40.3189689,-111.9015499,165.4896551724138
64,"3144 Green Acre Dr, West Jordan, UT 84088",444900.0,1720.0,40.5994925,-111.9660151,258.66279069767444
65,"1263 W Lime Canyon Rd, Midway, UT 84049",1299999.0,4802.0,40.5304983,-111.4987142,270.72032486463974
