Address,Price,Square Feet,Latitude,Longitude
"401 Silver King Dr #52, Park City, UT 84060","$649,000",452 sqft,,
"3752 W Soft Whisper Way, Herriman, UT 84096","$419,000","1,956 sqft",,
"445 N 100 W, Richfield, UT 84701","$229,000","1,404 sqft",,
"754 E Logan Ave, Salt Lake City, UT 84105","$650,000","1,977 sqft",,
"14506 S Ronan Ln UNIT 202, Herriman, UT 84096","$355,000","1,265 sqft",,
"2868 S 17300 W, Cedar City, UT 84720","$379,500","1,190 sqft",,
"1261 W Dallin Dr APT P101, Pleasant Grove, UT 84062","$334,900","1,306 sqft",,
"3625 S 5725 W, West Valley City, UT 84128","$270,000","1,900 sqft",,
"418 W 200 N, Logan, UT 84321","$305,000","1,571 sqft",,
"1676 E Sunset Rd, Lake Point, UT 84074","$349,900","1,792 sqft",,
"8364 W Aleen Ave S, Magna, UT 84044","$415,000","2,052 sqft",,
"1244 S Spruce Dr, Roosevelt, UT 84066","$325,000","2,392 sqft",,
"2472 W 525 S, Layton, UT 84041","$609,900","3,140 sqft",,
"135 E 100 N, Salina, UT 84654","$210,000","1,065 sqft",,
"11578 S Harvest Rain Ave W, South Jordan, UT 84009","$615,000","2,753 sqft",,
"956 W Tiffany Dale Way, Bluffdale, UT 84065","$445,000","2,002 sqft",,
"3384 N 675 E, Ogden, UT 84414","$489,900","2,178 sqft",,
"4082 N Poplar Dr, Eagle Mountain, UT 84005","$495,000","2,586 sqft",,
"923 E Chris Cir, Clearfield, UT 84015","$615,000","2,792 sqft",,
"6841 N 2200 W APT 13, Park City, UT 84098","$415,000",648 sqft,,
"1840 E Whitetail Way N, Layton, UT 84040","$429,900","2,200 sqft",,
"1920 N Lakota Dr UNIT 34, Saint George, UT 84770","$549,900","1,591 sqft",,
"1316 W 2920 S, Syracuse, UT 84075","$625,000","3,588 sqft",,
"229 E 1530 N, North Logan, UT 84341","$299,900","1,276 sqft",,
"7114 W 7800th St S #249, West Jordan, UT 84081","$597,900","2,676 sqft",,
"13958 S Newburg Dr W, Herriman, UT 84096","$815,000","3,506 sqft",,
"910 W Halstead Dr, North Salt Lake, UT 84054","$400,000","1,415 sqft",,
"659 W 300th St S, Lehi, UT 84043","$625,000","2,309 sqft",,
"1465 26th St, Ogden, UT 84401","$449,000","2,578 sqft",,
"45980 W Winchester Way, Fruitland, UT 84027","$649,000","2,591 sqft",,
"34100 N 9930 E #A-25, Fairview, UT 84629","$202,000","1,344 sqft",,
"142 N 100 E, Provo, UT 84606","$660,000","2,027 sqft",,
"4164 S South Artifact Dr, Cedar City, UT 84720","$42,900",N/A,,
"1681 W 4450 S, Roy, UT 84067","$574,900","5,374 sqft",,
"Canyon Plan, Juniper Trail","$536,500+","2,000 sqft",,
"Stanton Plan, Juniper Trail","$535,500+","1,860 sqft",,
"5518 S 175 E, Ogden, UT 84405","$554,000","3,270 sqft",,
"136 N 800 E, Genola, UT 84655","$1,595,000","4,266 sqft",,
"3938 S Coachman Way W #3938, Ogden, UT 84405","$349,900","1,800 sqft",,
"0 See Remarks, Grouse Creek, UT 84313","$34,000",N/A,,
"Cambria Plan, Juniper Trail","$529,750+","2,971 sqft",,
"2106 E Claybourne Ave, Salt Lake City, UT 84109","$790,000","2,846 sqft",,
"545 E Woodpine Cir, Midvale, UT 84047","$625,000","2,023 sqft",,
"464 N Highway 143 #A310, Brian Head, UT 84719","$277,000",621 sqft,,
"322 N 3420 W, Hurricane, UT 84737","$325,000",940 sqft,,
"2698 E Cedar Dr, Virgin, UT 84779","$99,500",115 sqft,,
"568 N 1400 E, Heber, UT 84032","$1,150,000","4,477 sqft",,
"1147 N Carriage Ln, Spanish Fork, UT 84660","$695,000","3,711 sqft",,
"370 E Apple Ln, Blanding, UT 84511","$335,000","2,249 sqft",,
"2470 W White Pine Ln, Park City, UT 84060","$35,000,000","10,286 sqft",,
"2948 S 3825 W, West Valley City, UT 84120","$420,000","1,524 sqft",,
"Canyon Plan, Juniper Trail","$607,750+","4,000 sqft",,
"Stanton Plan, Juniper Trail","$588,750+","3,680 sqft",,
"229 W 1725 N, Cedar City, UT 84721","$75,000",N/A,,
"2834 S Liberty Ave, Ogden, UT 84403","$356,000","1,664 sqft",,
"1024 W 3925 N, Ogden, UT 84414","$535,000","2,790 sqft",,
"Canyon Plan, Juniper Trail","$661,900+","4,000 sqft",,
"5311 S 4050 W, Roy, UT 84067","$420,000","1,253 sqft",,
"8261 N 9550th St W, Lehi, UT 84043","$799,000","1,400 sqft",,
"1451 Windy Ridge Dr #1148, Spanish Fork, UT 84660","$409,990","2,187 sqft",,
"394 W Buttercup Cir, Garden City, UT 84028","$100,000",N/A,,
"507 N 1100th St E, American Fork, UT 84003","$825,000","5,188 sqft",,
"62 W Wrangler Ave S, Saratoga Springs, UT 84045","$599,900","3,625 sqft",,
"On #3925, Cedar City, UT 84721","$349,900",N/A,,
"3144 Green Acre Dr, West Jordan, UT 84088","$444,900","1,720 sqft",,
"1263 W Lime Canyon Rd, Midway, UT 84049","$1,299,999","4,802 sqft",,
"1565 Ponderosa Ln, West Jordan, UT 84088","$370,000","1,684 sqft",,
"1257 W Matthews Way, Riverton, UT 84065","$579,000","2,536 sqft",,
"1188 W 2600 N, Clinton, UT 84015","$439,000","2,760 sqft",,
"321 W 2540th St N, Lehi, UT 84043","$525,000","2,560 sqft",,
"225 N Valley View Dr UNIT 81, Saint George, UT 84770","$349,900","1,361 sqft",,
"253 E Hillside Ln, Brookside, UT 84782","$398,500","1,212 sqft",,
"55 E 700 S APT 17, Saint George, UT 84770","$330,000","1,443 sqft",,
"3319 N Highway 162, Eden, UT 84310","$715,000","2,157 sqft",,
"170 N 100 E, Brigham City, UT 84302","$294,900","1,136 sqft",,
"1995 Calliandra Cir, Saint George, UT 84790","$457,000","1,770 sqft",,
"944 W 150 S, Clearfield, UT 84015","$490,000","3,020 sqft",,
"10510 S Forty Dam Acres Rd, Heber City, UT 84032","$188,000",N/A,,
"5145 N 3850 W, Cedar City, UT 84721","$47,500",N/A,,
"366 E 1300 N, Mapleton, UT 84664","$890,000","4,695 sqft",,
"1166 Dallas St, Syracuse, UT 84075","$388,000","2,058 sqft",,
"380 S 400th St E, American Fork, UT 84003","$490,000","2,474 sqft",,
"1247 E Bryan Ave, Salt Lake City, UT 84105","$550,000","1,488 sqft",,
"3896 S 640 W, Nibley, UT 84321","$465,000","2,496 sqft",,
"380 E 1500 S, Bountiful, UT 84010","$509,000","2,629 sqft",,
"2598 S Hawk Dr, Spanish Fork, UT 84660","$1,100,000","4,476 sqft",,
"202 Rideout Hall Ln, Draper, UT 84020","$374,900","1,124 sqft",,
"482 W 800 S, Tremonton, UT 84337","$350,000","2,150 sqft",,
"4436 W 2550 N, Lehi, UT 84043","$495,000","2,486 sqft",,
"13861 April Moon Cv, Herriman, UT 84096","$625,000","3,198 sqft",,
"506 S 100 W, Logan, UT 84321","$299,900","1,970 sqft",,
"3040 E Lavatera Dr, Saint George, UT 84790","$540,000","1,979 sqft",,
"1619 W 9620 S, South Jordan, UT 84095","$525,000","1,521 sqft",,
"4772 Taylors View Ln #27, Salt Lake City, UT 84123","$935,000","3,256 sqft",,
"2029 W Tollgate Canyon Rd #PI-59, Coalville, UT 84017","$950,000","1,800 sqft",,
"8372 N Iron Horse Dr, Lake Pt, UT 84074","$649,900","3,780 sqft",,
"88 S 980 E, American Fork, UT 84003","$479,900","2,195 sqft",,
"3311 Cove Cir, Layton, UT 84040","$1,275,000","7,641 sqft",,
"1040 W Kokopelli Way, Ivins, UT 84738","$1,100,000","2,763 sqft",,
"465 S High Bench Rd, Alpine, UT 84004","$1,224,900","4,204 sqft",,
"855 W Chickadee Ct, Washington, UT 84780","$499,000","1,799 sqft",,
"3145 W Coronado Dr, Hurricane, UT 84737","$487,994","1,389 sqft",,
"261 N 400 E, Logan, UT 84321","$379,900","2,152 sqft",,
"210 S 100 E, Providence, UT 84332","$469,900","2,065 sqft",,
"780 W 1125 N UNIT 50, Cedar City, UT 84721","$95,000","1,500 sqft",,
"565 N 550 E, American Fork, UT 84003","$539,900","2,236 sqft",,
"1062 N 2000 E, Saint George, UT 84770","$665,000","2,080 sqft",,
"3101 E Hunters Ridge Way, Heber, UT 84032","$525,000",N/A,,
"2184 W Carey Ln, St George, UT 84770","$950,000","3,376 sqft",,
"1755 E 2370 S, Saint George, UT 84790","$489,000","1,703 sqft",,
"382 N 200 W, Pleasant Grove, UT 84062","$579,900","2,874 sqft",,
"217 N 860 W, Spanish Fork, UT 84660","$389,000","1,032 sqft",,
"879 E 1510 N, Ogden, UT 84404","$579,000","2,506 sqft",,
"1407 E Logan Ave, Salt Lake City, UT 84105","$825,000","1,923 sqft",,
"3519 N Layton Ridge Dr, Layton, UT 84040","$2,900,000","6,955 sqft",,
"640 E 885 N, Beaver, UT 84713","$389,000","1,900 sqft",,
"416 S Parkside Cir, St George, UT 84770","$520,000","1,841 sqft",,
"2090 N Tuweap Dr UNIT 48, Saint George, UT 84770","$648,000","2,048 sqft",,
"6687 Haven Maple Dr, West Jordan, UT 84081","$569,900","2,641 sqft",,
"8862 S Cheshire Dr, Sandy, UT 84093","$945,000","4,332 sqft",,
"146 E 1470 S, Farmington, UT 84025","$550,000","1,955 sqft",,
"3101 E Hunters Ridge Way S, Heber City, UT 84032","$525,000",N/A,,
"5123 W Summerdale Dr S #2, Herriman, UT 84096","$540,000","2,772 sqft",,
"91 N 100 W, Salina, UT 84654","$205,000","1,554 sqft",,
"11671 E Sunridge Cir LOT 2, Huntsville, UT 84317","$330,000","1,024 sqft",,
"827 E 300 N, Brigham City, UT 84302","$373,000","2,250 sqft",,
"3651 N Native Dancer Dr, Cedar City, UT 84721","$499,999","2,652 sqft",,
"9741 S Chesapeake Dr, South Jordan, UT 84095","$725,000","3,119 sqft",,
"1031 N 500 E, Ogden, UT 84404","$110,000","1,560 sqft",,
"2822 W Tampico Dr #97, Saint George, UT 84770","$699,500","2,484 sqft",,
"1800 W 4500 S, Duchesne, UT 84021","$40,000",N/A,,
"106 N 400 E, Price, UT 84501","$195,000","2,304 sqft",,
"575 S Red Cliffs Rd, Leeds, UT 84746","$575,000","2,719 sqft",,
"4968 W 3175 S, Hurricane, UT 84737","$880,000","2,536 sqft",,
"4330 W 9600 N, Elwood, UT 84337","$625,000","2,748 sqft",,
"2726 E Snow Mountain Dr, Sandy, UT 84093","$1,270,000","1,582 sqft",,
"408 E 600 S, River Heights, UT 84321","$399,000",N/A,,
"691 E Country Breeze Cir, Draper, UT 84020","$900,000","3,065 sqft",,
"649 E Cedar Hollow Rd, Lehi, UT 84043","$735,000","4,802 sqft",,
"60 S 6140 W, Saint George, UT 84737","$450,000","1,878 sqft",,
"240 S 1100 W, Salt Lake City, UT 84104","$375,000",N/A,,
"3394 S Westcrest Rd #18, West Valley City, UT 84120","$120,000","3,176 sqft",,
"225 S Broadway St, Tooele, UT 84074","$399,900","1,704 sqft",,
"5762 W Yorkshire Ct, Highland, UT 84003","$1,295,000","2,617 sqft",,
"153 S Desert Sage Ln, Washington, UT 84780","$449,900","1,670 sqft",,
"N Highway 24 Hwy, Hanksville, UT 84734","$100,000","4,200 sqft",,
"392 Independence Way, North Salt Lake, UT 84054","$585,000","1,196 sqft",,
"833 E Mountain Rd, Ogden, UT 84414","$1,499,000","1,350 sqft",,
"1820 E 2000 S, Apple Valley, UT 84737","$750,000",980 sqft,,
"3100 Highway 89 E, Kanab, UT 84741","$100,000","2,000 sqft",,
"12172 S Window Arch Ln, Herriman, UT 84096","$699,950",N/A,,
"890 N 200 W, Pleasant Grove, UT 84062","$470,000","2,336 sqft",,
"920 N 90 W, Santaquin, UT 84655","$449,900","2,717 sqft",,
"1195 S Freedom Way, Big Water, UT 84741","$399,000","1,472 sqft",,
"12937 S Canyon Lands Dr #438, Riverton, UT 84065","$799,999","4,595 sqft",,
