,Address,Price,Square Feet,Latitude,Longitude
0,"401 Silver King Dr #52, Park City, UT 84060","$649,000",452 sqft,40.6536206,-111.5108353
1,"3752 W Soft Whisper Way, Herriman, UT 84096","$419,000","1,956 sqft",40.4789328,-111.9800321
2,"445 N 100 W, Richfield, UT 84701","$229,000","1,404 sqft",38.774316,-112.0831
3,"754 E Logan Ave, Salt Lake City, UT 84105","$650,000","1,977 sqft",40.7342592,-111.8693289
4,"14506 S Ronan Ln UNIT 202, Herriman, UT 84096","$355,000","1,265 sqft",40.4876916,-111.9930813
5,"2868 S 17300 W, Cedar City, UT 84720","$379,500","1,190 sqft",37.9906221,-113.4363576
6,"1261 W Dallin Dr APT P101, Pleasant Grove, UT 84062","$334,900","1,306 sqft",40.365808,-111.7587179
7,"3625 S 5725 W, West Valley City, UT 84128","$270,000","1,900 sqft",40.6935459,-112.0275863
8,"418 W 200 N, Logan, UT 84321","$305,000","1,571 sqft",41.7351435,-111.8457963
9,"1676 E Sunset Rd, Lake Point, UT 84074","$349,900","1,792 sqft",40.6809976,-112.2521916
10,"8364 W Aleen Ave S, Magna, UT 84044","$415,000","2,052 sqft",40.7022895,-112.0909568
11,"1244 S Spruce Dr, Roosevelt, UT 84066","$325,000","2,392 sqft",40.2814127,-109.993556
12,"2472 W 525 S, Layton, UT 84041","$609,900","3,140 sqft",41.0527413,-112.0121231
13,"135 E 100 N, Salina, UT 84654","$210,000","1,065 sqft",38.959215,-111.8577668
14,"11578 S Harvest Rain Ave W, South Jordan, UT 84009","$615,000","2,753 sqft",40.5409274,-111.9966067
15,"956 W Tiffany Dale Way, Bluffdale, UT 84065","$445,000","2,002 sqft",40.4703141,-111.9189583
16,"3384 N 675 E, Ogden, UT 84414","$489,900","2,178 sqft",41.3225394,-111.9585137
17,"4082 N Poplar Dr, Eagle Mountain, UT 84005","$495,000","2,586 sqft",40.3066285,-111.9968927
18,"923 E Chris Cir, Clearfield, UT 84015","$615,000","2,792 sqft",41.0885903,-112.0107989
19,"6841 N 2200 W APT 13, Park City, UT 84098","$415,000",648 sqft,40.7302626,-111.5541127
20,"1840 E Whitetail Way N, Layton, UT 84040","$429,900","2,200 sqft",41.1036971,-111.931173
21,"1920 N Lakota Dr UNIT 34, Saint George, UT 84770","$549,900","1,591 sqft",37.1398518,-113.6204728
22,"1316 W 2920 S, Syracuse, UT 84075","$625,000","3,588 sqft",41.0718323,-112.0514932
23,"229 E 1530 N, North Logan, UT 84341","$299,900","1,276 sqft",41.76010220000001,-111.8281075
24,"7114 W 7800th St S #249, West Jordan, UT 84081","$597,900","2,676 sqft",40.6092936,-112.0580424
25,"13958 S Newburg Dr W, Herriman, UT 84096","$815,000","3,506 sqft",40.4975688,-112.0181547
